filename_1,22_24,22_25,22_26,22_27,22_28,23_23,23_24,23_25,23_26,23_27,23_28,24_23,24_24,24_25,24_26,24_27,24_28,25_23,25_24,25_25,25_26,25_27,25_28
22_23,0.83,0.86,0.79,0.79,0.78,0.49,0.53,0.52,0.51,0.46,0.51,0.39,0.4,0.34,0.36,0.37,0.37,0.25,0.32,0.24,0.26,0.25,0.25
22_24,0,0.82,0.71,0.71,0.7,0.47,0.51,0.5,0.52,0.47,0.52,0.38,0.39,0.35,0.35,0.36,0.35,0.25,0.33,0.25,0.27,0.24,0.28
22_25,0,0,0.87,0.82,0.8,0.46,0.5,0.52,0.51,0.46,0.51,0.37,0.38,0.32,0.34,0.35,0.35,0.24,0.3,0.25,0.25,0.26,0.28
22_26,0,0,0,0.85,0.88,0.48,0.56,0.54,0.47,0.51,0.56,0.42,0.4,0.37,0.38,0.35,0.36,0.24,0.3,0.27,0.26,0.25,0.25
22_27,0,0,0,0,0.97,0.4,0.5,0.49,0.45,0.49,0.54,0.37,0.33,0.33,0.35,0.31,0.31,0.23,0.29,0.24,0.25,0.25,0.24
22_28,0,0,0,0,0,0.42,0.52,0.51,0.47,0.51,0.56,0.39,0.35,0.35,0.36,0.31,0.32,0.22,0.28,0.25,0.23,0.24,0.24
23_23,0,0,0,0,0,0,0.65,0.63,0.62,0.63,0.61,0.49,0.47,0.46,0.48,0.43,0.45,0.25,0.35,0.31,0.33,0.27,0.27
23_24,0,0,0,0,0,0,0,0.77,0.59,0.71,0.74,0.47,0.48,0.41,0.43,0.41,0.46,0.25,0.28,0.3,0.27,0.22,0.28
23_25,0,0,0,0,0,0,0,0,0.61,0.59,0.68,0.43,0.47,0.4,0.39,0.43,0.45,0.24,0.3,0.3,0.29,0.24,0.28
23_26,0,0,0,0,0,0,0,0,0,0.64,0.6,0.48,0.46,0.51,0.5,0.45,0.44,0.21,0.35,0.34,0.33,0.28,0.32
23_27,0,0,0,0,0,0,0,0,0,0,0.67,0.52,0.44,0.46,0.48,0.43,0.45,0.23,0.31,0.3,0.3,0.27,0.26
23_28,0,0,0,0,0,0,0,0,0,0,0,0.45,0.4,0.4,0.42,0.38,0.44,0.2,0.28,0.28,0.27,0.22,0.24
24_23,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.6,0.66,0.49,0.61,0.25,0.38,0.31,0.42,0.32,0.29
24_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.49,0.64,0.49,0.29,0.42,0.35,0.4,0.36,0.3
24_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.43,0.51,0.26,0.33,0.32,0.48,0.33,0.3
24_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.5,0.21,0.35,0.37,0.38,0.37,0.29
24_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.25,0.38,0.38,0.4,0.41,0.31
24_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.33,0.32,0.36,0.35,0.3
25_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.2,0.24,0.27,0.22
25_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.35,0.33,0.28
25_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.46,0.48
25_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.39
25_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57
